Products,SellCounts,Price
Yapışkanlı Siyah 2 Adet Tek Katlı Düz Ba,6.015,"199,90 TL"
"Philips Hue Bridge, Akıllı Aydınlatma Ba",11,"1.849,00 TL"
Katlanabilir Saplı Faraş Süpürge Kürek S,86,"339,15 TL"
Senon Kristal Cam Küre Renk Değiştiren L,8,"219,00 TL"
Orret Home Duvara Yapıştırılabilir Silik,1.89,"99,00 TL"
Sleepy Easy Clean Çamaşır Suyu Katkılı Y,417,"273,90 TL"
Electrolux EUFC8ALRGY UltraFlex Toz Torb,545,"5.699,00 TL"
"Primanova Lenox Çöp Kovası, Siyah, 6 Lt,",588,"348,00 TL"
Glade Lavanta Yedek Otomatik Sprey 60 Gü,208,"124,00 TL"
S-Link Swapp Sl-rgb15 Akıllı Wi-Fi Rgb L,339,"398,00 TL"
Galaxy 31 Cm Gerçek Cam Sessiz Mekanizma,72,"395,00 TL"
Dyson V15 ve Dyson V11 ile uyumlu Arka H,42,"349,99 TL"
Masa Lambası Dokunmatik 3 Renk 24 Led Te,430,"399,00 TL"
DecoBella Çelik Çamaşır İpi (10 mt),11,"29,90 TL"
Mandallı Mop Mikrofiber Sihirli mop Faya,654,"215,00 TL"
ÖZENEV Blackout Işık Geçirmez Fon Perde ,17,"192,50 TL"
Led Ampul 9 Watt 10'lu Paket Beyaz Işık ,79,"6.299,00 TL"
Karcher SC 2 Deluxe Buharlı Makine,148,"159,00 TL"
4'lü Çekmece Düzenleyici,267,"389,98 TL"
Elektrikli motor turbo zemin fırçası baş,1.099,"2.740,00 TL"
Bacak Yastık. Viskoelastik Yastık. Ortop,8.626,"460,00 TL"
Philips Hue GO V2 Taşınabilir Akıllı Led,122,"69,00 TL"
